NUM,SEQ,IR,RED,X,Y,Z
1,26123,122287,91744,-0.2,-0.55,0.8
1,26124,122305,91696,-0.2,-0.55,0.81
1,26125,122257,91677,-0.2,-0.55,0.81
1,26126,122291,91721,-0.19,-0.55,0.8
1,26127,122360,91746,-0.19,-0.55,0.81
1,26128,122400,91784,-0.2,-0.55,0.81
1,26129,122446,91703,-0.2,-0.55,0.81
1,26130,122394,91762,-0.2,-0.55,0.81
1,26131,122494,91791,-0.2,-0.54,0.81
1,26132,122553,91817,-0.2,-0.54,0.81
1,26133,122689,91816,-0.2,-0.54,0.81
1,26134,122707,91831,-0.2,-0.54,0.81
1,26135,122765,91885,-0.2,-0.55,0.8
1,26136,122853,91862,-0.19,-0.55,0.8
1,26137,122937,91915,-0.2,-0.55,0.81
1,26138,123012,91899,-0.19,-0.55,0.8
1,26139,123026,91963,-0.19,-0.55,0.81
1,26140,123167,91938,-0.19,-0.54,0.8
1,26141,123230,92014,-0.2,-0.55,0.81
1,26142,123223,91865,-0.2,-0.54,0.8
1,26143,122536,91721,-0.19,-0.55,0.8
1,26144,122321,91679,-0.19,-0.55,0.81
1,26145,122308,91714,-0.2,-0.55,0.81
1,26146,122329,91698,-0.2,-0.55,0.81
1,26147,122260,91715,-0.2,-0.55,0.81
1,26148,122331,91706,-0.19,-0.55,0.81
1,26149,122403,91759,-0.19,-0.55,0.81
1,26150,122520,91801,-0.2,-0.54,0.81
1,26151,122618,91821,-0.2,-0.55,0.81
1,26152,122701,91851,-0.2,-0.54,0.81
1,26153,122823,91858,-0.2,-0.55,0.8
1,26154,122854,91850,-0.19,-0.55,0.8
1,26155,122890,91914,-0.2,-0.54,0.81
1,26156,123032,91892,-0.2,-0.54,0.81
1,26157,123037,91970,-0.2,-0.54,0.81
1,26158,123191,91931,-0.2,-0.55,0.81
1,26159,123230,92008,-0.2,-0.55,0.81
1,26160,123293,92039,-0.2,-0.54,0.81
1,26161,123467,92053,-0.2,-0.54,0.8
1,26162,123547,92094,-0.2,-0.54,0.81
1,26163,123153,91869,-0.2,-0.54,0.81
1,26164,122530,91714,-0.2,-0.55,0.81
1,26165,122343,91716,-0.2,-0.54,0.8
1,26166,122423,91775,-0.2,-0.54,0.81
1,26167,122419,91719,-0.2,-0.54,0.81
1,26168,122339,91691,-0.2,-0.55,0.81
1,26169,122366,91766,-0.2,-0.54,0.81
1,26170,122533,91782,-0.2,-0.54,0.81
1,26171,122545,91809,-0.2,-0.54,0.81
1,26172,122555,91822,-0.2,-0.54,0.81
1,26173,122615,91765,-0.2,-0.55,0.8
1,26174,122634,91839,-0.2,-0.54,0.8
1,26175,122733,91850,-0.2,-0.54,0.81
1,26176,122851,91829,-0.2,-0.55,0.81
1,26177,122876,91880,-0.2,-0.55,0.81
1,26178,122955,91904,-0.2,-0.55,0.81
