SEQ,IR1,RED1,IR2,RED2,IR3,RED3,IR4,RED4
417,4764,4298,116559,91602,262143,262143,262143,262143
418,4724,4320,116517,91633,262143,262143,262143,262143
419,4735,4301,116501,91578,262143,262143,262143,262143
420,4717,4320,116438,91568,262143,262143,262143,262143
421,4746,4298,116464,91612,262143,262143,262143,262143
422,4711,4306,116521,91585,262143,262143,262143,262143
423,4762,4287,116591,91605,262143,262143,262143,262143
424,4742,4343,116528,91629,262143,262143,262143,262143
425,4743,4297,116615,91626,262143,262143,262143,262143
426,4729,4304,116716,91665,262143,262143,262143,262143
427,4736,4344,116689,91691,262143,262143,262143,262143
428,4752,4314,116796,91726,262143,262143,262143,262143
429,4753,4265,116847,91723,262143,262143,262143,262143
430,4709,4336,116897,91737,262143,262143,262143,262143
431,4728,4323,116990,91760,262143,262143,262143,262143
432,4734,4274,117043,91741,262143,262143,262143,262143
433,4766,4289,117146,91790,262143,262143,262143,262143
434,4695,4302,117066,91737,262143,262143,262143,262143
435,4727,4332,116856,91654,262143,262143,262143,262143
436,4737,4288,116752,91690,262143,262143,262143,262143
437,4708,4320,116723,91663,262143,262143,262143,262143
438,4762,4305,116703,91669,262143,262143,262143,262143
439,4738,4309,116743,91668,262143,262143,262143,262143
440,4768,4299,116824,91660,262143,262143,262143,262143
441,4737,4310,116803,91703,262143,262143,262143,262143
442,4704,4317,116844,91643,262143,262143,262143,262143
443,4735,4325,116893,91736,262143,262143,262143,262143
444,4744,4335,116913,91733,262143,262143,262143,262143
445,4751,4291,116990,91727,262143,262143,262143,262143
446,4785,4284,117006,91793,262143,262143,262143,262143
447,4715,4308,117022,91793,262143,262143,262143,262143
448,4734,4293,117112,91786,262143,262143,262143,262143
449,4690,4299,117160,91812,262143,262143,262143,262143
450,4702,4326,117095,91709,262143,262143,262143,262143
451,4746,4296,116901,91735,262143,262143,262143,262143
452,4734,4297,116925,91691,262143,262143,262143,262143
453,4734,4266,116865,91712,262143,262143,262143,262143
