time,IR,RED,HR,RR,SP02
30.46,228791,217056,60,13.7614678899083,98.2847005010514
30.48,228775,217131,60,13.7614678899083,98.2847005010514
30.5,228756,216939,60,13.7614678899083,98.2847005010514
30.52,228683,217001,60,13.7614678899083,98.2847005010514
30.54,228630,217000,60,13.7614678899083,98.2847005010514
30.56,228703,216886,60,13.7614678899083,98.2847005010514
30.58,228685,217054,60,13.7614678899083,98.2847005010514
30.6,228779,216959,60,13.7614678899083,98.2847005010514
30.62,228783,217068,60,13.7614678899083,98.2847005010514
30.64,228829,216990,60,13.7614678899083,98.2847005010514
30.66,228811,217060,60,13.7614678899083,98.2847005010514
30.68,228819,216933,60,13.7614678899083,98.2847005010514
30.7,228812,217036,60,13.7614678899083,98.2847005010514
30.72,228858,216964,60,13.7614678899083,98.2847005010514
30.74,228861,217051,60,13.7614678899083,98.2847005010514
30.76,228851,216974,60,13.7614678899083,98.2847005010514
30.78,228932,217026,60,13.7614678899083,98.2847005010514
30.8,228954,216903,60,13.7614678899083,98.2847005010514
30.82,228987,217023,60,13.7614678899083,98.2847005010514
30.84,229017,217047,60,13.7614678899083,98.2847005010514
30.86,229055,217001,60,13.7614678899083,98.2847005010514
30.88,229136,217145,60,13.7614678899083,98.2847005010514
30.9,229153,216987,60,13.7614678899083,98.2847005010514
30.92,229207,217075,60,13.7614678899083,98.2847005010514
30.94,229243,217041,60,13.7614678899083,98.2847005010514
30.96,229419,217055,60,13.7614678899083,98.2847005010514
30.98,229322,217215,60,13.7614678899083,98.2847005010514
31,229383,217018,60,13.7614678899083,98.2847005010514
31.02,229415,217085,60,13.7614678899083,98.2847005010514
31.04,229435,217226,60,13.7614678899083,98.2847005010514
31.06,229522,217074,60,13.7614678899083,98.2847005010514
31.08,229678,217132,60,13.7614678899083,98.2847005010514
31.1,229597,217305,60,13.7614678899083,98.2847005010514
31.12,229665,217206,60,13.7614678899083,98.2847005010514
31.14,229822,217165,60,13.7614678899083,98.2847005010514
31.16,229705,217346,60,13.7614678899083,98.2847005010514
31.18,229818,217197,60,13.7614678899083,98.2847005010514
31.2,229983,217222,60,13.7614678899083,98.2847005010514
31.22,229913,217394,57.6923076923077,13.7614678899083,98.2847005010514
31.24,229986,217229,57.6923076923077,13.7614678899083,98.2847005010514
31.26,229977,217300,57.6923076923077,13.7614678899083,98.2847005010514
31.28,230059,217374,57.6923076923077,13.7614678899083,98.2847005010514
31.3,230053,217288,57.6923076923077,13.7614678899083,98.2847005010514
31.32,230147,217346,57.6923076923077,13.7614678899083,98.2847005010514
31.34,230125,217386,57.6923076923077,13.7614678899083,98.2847005010514
31.36,229998,217276,57.6923076923077,13.7614678899083,98.2847005010514
31.38,229899,217292,57.6923076923077,13.7614678899083,98.2847005010514
31.4,229753,217238,57.6923076923077,13.7614678899083,98.2847005010514
31.42,229626,217126,57.6923076923077,13.7614678899083,98.2847005010514
31.44,229522,217150,57.6923076923077,13.7614678899083,98.2847005010514
31.46,229430,217093,57.6923076923077,13.7614678899083,98.2847005010514
31.48,229404,217006,57.6923076923077,13.7614678899083,98.2847005010514
31.5,229337,217095,57.6923076923077,13.7614678899083,98.2847005010514
31.52,229253,217001,57.6923076923077,13.7614678899083,98.2847005010514
31.54,229220,216939,57.6923076923077,13.7614678899083,98.2847005010514
31.56,229170,217026,57.6923076923077,13.7614678899083,98.2847005010514
31.58,229187,216831,57.6923076923077,13.7614678899083,98.2847005010514
31.6,229192,216954,57.6923076923077,13.7614678899083,98.2847005010514
31.62,229240,216889,57.6923076923077,13.7614678899083,98.2847005010514
31.64,229246,216963,57.6923076923077,13.7614678899083,98.2847005010514
31.66,229266,216917,57.6923076923077,13.7614678899083,98.2847005010514
31.68,229249,216935,57.6923076923077,13.7614678899083,98.2847005010514
31.7,229264,216835,57.6923076923077,13.7614678899083,98.2847005010514
31.72,229254,216927,57.6923076923077,13.7614678899083,98.2847005010514
31.74,229295,216848,57.6923076923077,13.7614678899083,98.2847005010514
31.76,229273,216921,57.6923076923077,13.7614678899083,98.2847005010514
31.78,229304,216855,57.6923076923077,13.7614678899083,98.2847005010514
31.8,229283,216888,57.6923076923077,13.7614678899083,98.2847005010514
31.82,229363,217036,57.6923076923077,13.7614678899083,98.2847005010514
31.84,229437,216843,57.6923076923077,13.7614678899083,98.2847005010514
31.86,229415,216996,57.6923076923077,13.7614678899083,98.2847005010514
31.88,229443,216847,57.6923076923077,13.7614678899083,98.2847005010514
31.9,229503,216947,57.6923076923077,13.7614678899083,98.2847005010514
31.92,229528,216931,57.6923076923077,13.7614678899083,98.2847005010514
31.94,229672,216899,57.6923076923077,13.7614678899083,98.2847005010514
31.96,229583,217081,57.6923076923077,13.7614678899083,98.2847005010514
31.98,229660,216907,57.6923076923077,13.7614678899083,98.2847005010514
32,229650,216969,57.6923076923077,13.7614678899083,98.2847005010514
32.02,229715,217051,57.6923076923077,13.7614678899083,98.2847005010514
32.04,229779,216895,57.6923076923077,13.7614678899083,98.2847005010514
32.06,229746,216993,57.6923076923077,13.7614678899083,98.2847005010514
32.08,229837,217129,57.6923076923077,13.7614678899083,98.2847005010514
32.1,229894,216988,57.6923076923077,13.7614678899083,98.2847005010514
32.12,230042,217020,57.6923076923077,13.7614678899083,98.2847005010514
32.14,229987,217208,57.6923076923077,13.7614678899083,98.2847005010514
32.16,230028,217023,57.6923076923077,13.7614678899083,98.2847005010514
32.18,230052,217063,57.6923076923077,13.7614678899083,98.2847005010514
32.2,230110,217240,57.6923076923077,13.7614678899083,98.2847005010514
32.22,230176,217023,57.6923076923077,13.7614678899083,98.2847005010514
32.24,230175,217109,57.6923076923077,13.7614678899083,98.2847005010514
32.26,230236,217265,56.6037735849057,13.7614678899083,98.2847005010514
32.28,230316,217110,56.6037735849057,13.7614678899083,98.2847005010514
32.3,230473,217155,56.6037735849057,13.7614678899083,98.2847005010514
32.32,230365,217324,56.6037735849057,13.7614678899083,98.2847005010514
32.34,230441,217240,56.6037735849057,13.7614678899083,98.2847005010514
32.36,230533,217182,56.6037735849057,13.7614678899083,98.2847005010514
32.38,230291,217293,56.6037735849057,13.7614678899083,98.2847005010514
32.4,230151,217157,56.6037735849057,13.7614678899083,98.2847005010514
32.42,229945,217059,56.6037735849057,13.7614678899083,98.2847005010514
32.44,229860,217163,56.6037735849057,13.7614678899083,98.2847005010514
32.46,229760,216906,56.6037735849057,13.7614678899083,98.2847005010514
32.48,229598,216916,56.6037735849057,13.7614678899083,98.2847005010514
32.5,229558,216990,56.6037735849057,13.7614678899083,98.2847005010514
32.52,229481,216811,56.6037735849057,13.7614678899083,98.2847005010514
32.54,229353,216831,56.6037735849057,13.7614678899083,98.2847005010514
32.56,229292,216771,56.6037735849057,13.7614678899083,98.2847005010514
32.58,229151,216692,56.6037735849057,13.7614678899083,98.2847005010514
32.6,229134,216760,56.6037735849057,13.7614678899083,98.2847005010514
32.62,229177,216688,56.6037735849057,13.7614678899083,98.2847005010514
32.64,229140,216754,56.6037735849057,13.7614678899083,98.2847005010514
32.66,229208,216703,56.6037735849057,13.7614678899083,98.2847005010514
32.68,229171,216740,56.6037735849057,13.7614678899083,98.2847005010514
32.7,229178,216677,56.6037735849057,13.7614678899083,98.2847005010514
32.72,229161,216717,56.6037735849057,13.7614678899083,98.2847005010514
32.74,229172,216644,56.6037735849057,13.7614678899083,98.2847005010514
32.76,229158,216711,56.6037735849057,13.7614678899083,98.2847005010514
32.78,229171,216623,56.6037735849057,13.7614678899083,98.2847005010514
32.8,229156,216724,56.6037735849057,13.7614678899083,98.2847005010514
32.82,229152,216712,56.6037735849057,13.7614678899083,98.2847005010514
32.84,229210,216700,56.6037735849057,13.7614678899083,98.2847005010514
